t_unix | state | seq | age_ms | estop_latched | thr | str | tgt_L | tgt_R | act_L | act_R | L_dir L_pwm | R_dir R_pwm
1769262672.670 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262672.789 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262672.915 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262673.035 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262673.159 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262673.282 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262673.405 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262673.528 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262673.651 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262673.774 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262673.898 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262674.019 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262674.143 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262674.264 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262674.387 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262674.512 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262674.635 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262674.760 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262674.881 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262675.005 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262675.127 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262675.249 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262675.372 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262675.496 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262675.620 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262675.745 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262675.864 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262675.987 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262676.112 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262676.233 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262676.355 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262676.482 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262676.604 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262676.728 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262676.851 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262676.974 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262677.099 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262677.224 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262677.349 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262677.471 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262677.592 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262677.733 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262677.855 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262677.979 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262678.103 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262678.228 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262678.351 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
